db	id	alt	E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	p-value	mult_tests	neg_sites_in_bin	neg_sites	neg_adj_pvalue	log_neg_adj_pvalue	fisher_adj_pvalue	log_fisher_adj_pvalue	
2	MA0607.1	Bhlha15	3.50E+00	6.80E-03	-5.00E+00	0	85	493	390	1868	1.72E-01	2.80E-05	2.46E+02	16	1.05E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0608.1	Creb3l2	4.40E-10	8.40E-13	-2.78E+01	0	180	492	464	946	0.36585	3.40E-15	2.45E+02	24	57	1.00E+00	0.00E+00		1.00E+00	0
2	MA0609.1	Crem	1.60E-04	3.10E-07	-1.50E+01	0	273	491	478	717	5.56E-01	1.20E-09	2.45E+02	26	4.30E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0611.1	Dux	4.80E-12	9.20E-15	-3.23E+01	0	111	493	489	1536	0.22515	3.70E-17	2.46E+02	2.40E+01	68	9.40E-01	-6.00E-02		1.00E+00	0
2	MA0615.1	Gmeb1	3.60E-15	6.90E-18	-3.95E+01	0	242	484	1490	2520	0.5	2.90E-20	2.41E+02	8.80E+01	155	1.00E+00	0.00E+00		1.00E+00	0
2	MA0617.1	Id2	4.80E-04	9.10E-07	-1.39E+01	0	163	493	229	501	3.31E-01	3.70E-09	2.46E+02	14	3.00E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0620.1	Mitf	2.50E-08	4.80E-11	-2.38E+01	0	215	491	2412	4928	0.43788	2.00E-13	2.45E+02	1.24E+02	279	1.00E+00	0.00E+00		1.00E+00	0
2	MA0622.1	Mlxip	1.40E-03	2.70E-06	-1.28E+01	0	163	493	227	501	0.33063	1.10E-08	2.46E+02	1.40E+01	30	1.00E+00	0.00E+00		1.00E+00	0
2	MA0632.1	Tcfl5	2.00E-11	3.90E-14	-3.09E+01	0	223	491	1658	3145	0.45418	1.60E-16	2.45E+02	9.20E+01	186	1.00E+00	0.00E+00		1.00E+00	0
2	MA0636.1	BHLHE41	1.40E-05	2.80E-08	-1.74E+01	0	75	491	126	471	0.15275	1.10E-10	2.45E+02	7.00E+00	34	1.00E+00	0.00E+00		1.00E+00	0
2	MA0638.1	CREB3	4.30E-09	8.30E-12	-2.55E+01	0	221	487	552	960	4.54E-01	3.40E-14	2.43E+02	33	5.90E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0640.1	ELF3	1.20E-14	2.40E-17	-3.83E+01	0	168	488	687	1502	3.44E-01	9.70E-20	2.43E+02	28	8.40E+01	1.00E+00	0.00E+00		9.80E-01	-0.02
2	MA0641.1	ELF4	5.00E-27	9.50E-30	-6.68E+01	0	237	489	1179	1904	4.85E-01	3.90E-32	2.44E+02	69	1.20E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0645.1	ETV6	1.70E-24	3.20E-27	-6.10E+01	0	231	491	2290	4102	4.70E-01	1.30E-29	2.45E+02	127	2.39E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0649.1	HEY2	1.30E-10	2.50E-13	-2.90E+01	0	229	491	1485	2738	0.4664	1.00E-15	2.45E+02	8.60E+01	165	1.00E+00	0.00E+00		1.00E+00	0
2	MA0655.1	JDP2	1.50E-09	2.90E-12	-2.66E+01	0	88	492	328	1225	0.17886	1.20E-14	2.45E+02	2.20E+01	77	9.70E-01	-3.00E-02		1.00E+00	0
